web-scraper-order,web-scraper-start-url,pagination,pagination-href,publication,title,author,year,issue number,page number,description,MFN,ანოტაცია,გეოგ დასახელება,თემატიკა,მოხსენიებული პირები,ორგანიზაცია,პერსონალია,საკვანძო სიტყვები,ფოტოები,მატიანის რუბრიკა
1524727435-223,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,2,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&pft=biblio&from=51&rnum=50&sf=advanced&qs=a%3A6%3A%7Bi%3A0%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22700%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A1%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22200%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A2%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229801%22%3Bs%3A1%3A%22q%22%3Bs%3A35%3A%22%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A3%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229802%22%3Bs%3A1%3A%22q%22%3Bs%3A4%3A%221920%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A4%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22600%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A5%3Ba%3A2%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22606%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3B%7D%7D,ვაზი და ღვინო,კავშირთ-კავშირის მიერ მოწვეული მევენახეთა ყრილობა : შემდგარი 1920 წ. 29 აგვისტოს ველისციხეში [ჯგუფური ფოტო],,1920,N11,გვ.10,"კავშირთ-კავშირის მიერ მოწვეული მევენახეთა ყრილობა : შემდგარი 1920 წ. 29 აგვისტოს ველისციხეში [ჯგუფური ფოტო] // ვაზი და ღვინო. - თბილისი, 1920. - N11. - გვ.10[MFN: 428589]",428589,,  ველისციხე.,  ფოტოხელოვნება; ქართველი მევენახეები.,,,,  სურათი.,,
1524727429-105,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1992&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,შევქმნათ მევენახეობა-მეღვინეობის კადასტრი : [მევენახეობის კადასტრი განვითარებულ ქვეყნებში და მისი შექმნა და აღმავლობა საქართველოში] / ვაჟა გოცირიძე,"გოცირიძე, ვაჟა",1992,N2,გვ.41-44,"შევქმნათ მევენახეობა-მეღვინეობის კადასტრი : [მევენახეობის კადასტრი განვითარებულ ქვეყნებში და მისი შექმნა და აღმავლობა საქართველოში] / ვაჟა გოცირიძე // ვაზი და ღვინო. - თბილისი, 1992. - N2. - გვ.41-44[MFN: 293031]",293031,,,,,,,,,  სოფლის მეურნეობა; საქართველო; მევენახეობა.
1524727426-95,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1993&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"""ხოთბის"" ექსპერტები თბილისში : [""ხოთბის"" აუქციონის ექსპერტები სტუმრად თბილისში. მათი მოსაზრებები მსოფლიოში ალკოჰოლიანი სასმელების გავრცელების არეალისა და ქართული ღვინოების რეალიზაციის პერსპექტივების თაობაზე]","ჯანაშვილი, ა.",1993,N1,გვ.84-87,"""ხოთბის"" ექსპერტები თბილისში : [""ხოთბის"" აუქციონის ექსპერტები სტუმრად თბილისში. მათი მოსაზრებები მსოფლიოში ალკოჰოლიანი სასმელების გავრცელების არეალისა და ქართული ღვინოების რეალიზაციის პერსპექტივების თაობაზე] // ვაზი და ღვინო. - თბილისი, 1993. - N1-2. - გვ.84-87[MFN: 342850]",342850,,,,,,,,,  საქართველო; მევენახეობა-მეღვინეობის საზოგადოებები; კონგრესები; გამოფენები.
1524727435-209,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,2,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&pft=biblio&from=51&rnum=50&sf=advanced&qs=a%3A6%3A%7Bi%3A0%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22700%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A1%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22200%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A2%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229801%22%3Bs%3A1%3A%22q%22%3Bs%3A35%3A%22%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A3%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229802%22%3Bs%3A1%3A%22q%22%3Bs%3A4%3A%221920%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A4%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22600%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A5%3Ba%3A2%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22606%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3B%7D%7D,ვაზი და ღვინო,წესდება : სრულიად საქართველოს მეღვინე და მევენახეთა ყრილობისა,,1920,N9,გვ.7-13,"წესდება : სრულიად საქართველოს მეღვინე და მევენახეთა ყრილობისა // ვაზი და ღვინო. - თბილისი, 1920. - N9. - გვ.7-13[MFN: 428563]",428563,,,  სოფლის მეურნეობა; მევენახეობა-მეღვინეობა.,,,,  მეღვინე და მევენახეთა ყრილობა; წესდება.,,
1524727432-189,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,ვ. ი. რცხილაძე : [ნეკროლოგი],"ანდრონიკაშვილი, ი.",1920,N6,გვ.3-4,"ვ. ი. რცხილაძე : [ნეკროლოგი] // ვაზი და ღვინო. - თბილისი, 1920. - N6. - გვ.3-4[MFN: 428531]",428531,,,  ნეკროლოგი.,,,  რცხილაძე ვ. (მეღვინე-მევენახეთა საბჭოს წევრი).,,,
1524727424-68,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1994&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"""წინანდალი"", ""გურჯაანი"", ""ნაფარეული"" სამწლიანი ღვინოებია / მ. არკუნელი","არკუნელი, მ.",1994,N1,გვ.80-83,"""წინანდალი"", ""გურჯაანი"", ""ნაფარეული"" სამწლიანი ღვინოებია / მ. არკუნელი // ვაზი და ღვინო. - თბილისი, 1994. - N1-2. - გვ.80-83[MFN: 300432]",300432,,,,,,,,,  კვების მრეწველობა; მეღვინეობა.
1524727432-154,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,შეკითხვა პასუხი,,1920,N1,გვ.15,"შეკითხვა პასუხი // ვაზი და ღვინო. - თბილისი, 1920. - N1. - გვ.15. - კითხვებს ხელს აწერენ: ვაზის მუშა და მევენახე.[MFN: 428402]",428402,  კითხვები მევენახეობის შესახებ,,  სოფლის მეურნეობა; მევენახეობა_მეღვინეობა.,,,,  ღვინოები; ნამყენი ვაზი.,,
1524727432-157,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"კოოპერატიული კახური ღვინო ""კახელ მევენახეთა კავშირთ კავშირი"" : [რეკლამა]",,1920,N1,გვ.2,"კოოპერატიული კახური ღვინო ""კახელ მევენახეთა კავშირთ კავშირი"" : [რეკლამა] // ვაზი და ღვინო. - თბილისი, 1920. - N1. - გვ.2[MFN: 428408]",428408,"  მოცემულია ცნობები ""კახელ მევენახეთა კავშირთ კავშირის"" შესახებ",  თბილისი.,  სოფლის მეურნეობა; მევენახეობა-მეღვინეობა; კოოპერატივები; თბილისის ქუჩები.,,"  კოოპერატივი ""კახელ მევენახეთა კავშირთ კავშირი"".",,  ქართული ღვინო; მევენახეები; რუსთაველის ქუჩა.,,
1524727421-48,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1995&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,კრახუნა : [ქართული თეთრყურძნიანი საღვინე ვაზის ჯიში],,1995,N1,გვ.70-72,"კრახუნა : [ქართული თეთრყურძნიანი საღვინე ვაზის ჯიში] // ვაზი და ღვინო. - თბილისი, 1995. - N1-2. - გვ.70-72[MFN: 340024]",340024,,,,,,,,,  საქართველო; ამპელოგრაფია.
1524727432-166,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,საყურადღებო ცნობები,,1920,N2,გვ.15,"საყურადღებო ცნობები // ვაზი და ღვინო. - თბილისი, 1920. - N2. - გვ.15[MFN: 428462]",428462,  საქართველოს მეღვინე-მევენახეთა ყრილობათა საბჭოს ქონებრივი შემოსავალისა და მევენახეთათვის გამართული თათბირების შესახებ,,  სოფლის მეურნეობა; მევენახეობა-მეღვინეობა.,,"  ფირმა ""კახეთი""; ფირმა კავშირთ-კავშირი""; ფირმა ""საერო""; ფირმა ""ივერია""; ფირმა ""ძმობა""; ფირმა ""კახური ღვინო"".",,  საქართველოს მეღვინე-მევენახეთა ყრილობათა საბჭო; მევენახეთა თათბირები.,,
1524727426-83,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1993&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,სავენახე ნიადაგის პირველადი დამუშავება / ჯ. ონიანი,"ონიანი, ჯ.",1993,N1,გვ.119-122,"სავენახე ნიადაგის პირველადი დამუშავება / ჯ. ონიანი // ვაზი და ღვინო. - თბილისი, 1993. - N1-2. - გვ.119-122[MFN: 299554]",299554,,,,,,,,,  სოფლის მეურნეობა; საქართველოს ნიადაგები; საქართველო; მევენახეობა.
1524727419-11,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1996&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,მევენახეობაში მიწათმოქმედების კულტურის ამაღლებისათვის / ჯ. ონიანი,"ონიანი, ჯ.",1996,N1,გვ.126-130,"მევენახეობაში მიწათმოქმედების კულტურის ამაღლებისათვის / ჯ. ონიანი // ვაზი და ღვინო. - თბილისი, 1996. - N1-4. - გვ.126-130[MFN: 296900]",296900,,,,,,,,,  სოფლის მეურნეობა; სატყეო მეურნეობა; მებაღეობა მთლიანად; მეხილეობა; მევენახეობა.
1524727435-205,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,2,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&pft=biblio&from=51&rnum=50&sf=advanced&qs=a%3A6%3A%7Bi%3A0%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22700%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A1%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22200%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A2%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229801%22%3Bs%3A1%3A%22q%22%3Bs%3A35%3A%22%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A3%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229802%22%3Bs%3A1%3A%22q%22%3Bs%3A4%3A%221920%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A4%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22600%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A5%3Ba%3A2%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22606%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3B%7D%7D,ვაზი და ღვინო,წერილები ადგილებიდან:ახალგორის რაიონი,"ქვლივიშვილი, ა.",1920,N8,გვ.13,"წერილები ადგილებიდან:ახალგორის რაიონი // ვაზი და ღვინო. - თბილისი, 1920. - N8. - გვ.13. - ტექსტის ბოლოს ხელმოწერა: სამაზრო საერობო მამულის გამგე ა. ქვლივიშვილი[MFN: 428555]",428555,  ვენახების სავალალო მდგომარეობა ახალგორის რაიონში,  ახალგორის რაიონი; დუშეთის მაზრა.,  სოფლის მეურნეობა; მევენახეობა-მეღვინეობა.,,,,  ვენახები; ფილოქსერა.,,
